a replica e tempestiva,naosentenca
a réplica é tempestiva,naosentenca
ainda nao transitou em julgado,naosentenca
ajuste correicional,naosentenca
ajuste correicional conclusos para sentenca,naosentenca
alvara assinado e enviado sidejud,naosentenca
alvara assinado e enviado sidejud aguardando confirmacao de transferencia,naosentenca
apenso o processo,naosentenca
apos a conclusao para julgamento,naosentenca
arquivado definitivamente,naosentenca
arquivado definitivamente definitivo,naosentenca
arquivado provisoramente,naosentenca
arquivamento,naosentenca
arquivamento - definitivo,naosentenca
arquivem-se os autos,naosentenca
arquive-se os autos,naosentenca
assistencia judiciaria gratuita nao concedida,naosentenca
ato ordinatório,naosentenca
ato ordinatório praticado,naosentenca
ato ordinatorio praticado    ,naosentenca
ato ordinatorio praticado generico - instituicao,naosentenca
atualizacao da avaliacao da penhora n protocolo,naosentenca
audiencia conciliacao - art. 334 cpc,naosentenca
audiência conciliação - art. 334 cpc,naosentenca
audiencia conciliacao designada,naosentenca
audiencia de instrucao realizada,naosentenca
audiencia designada certifico conforme me faculta a lei,naosentenca
audiencia designada conciliatoria,naosentenca
audiencia designada pericia,naosentenca
audiencia instrucao designada,naosentenca
audiencia instrucao e julgamento,naosentenca
audiencia instrucao e julgamento designada,naosentenca
audiencia instrucao e julgamento redesignada,naosentenca
audiencia instrucao realizada,naosentenca
audiencia instrucao redesignada,naosentenca
audiencia realizada,naosentenca
audiencia saneamento e organizacao designada,naosentenca
audiencia saneamento e organizacao realizada,naosentenca
audiencia tentativa de conciliacao designada,naosentenca
autos com peticao recebidos no protocolo geral,naosentenca
autos entregues em carga,naosentenca
autos entregues em carga ao acionante,naosentenca
autos entregues em carga ao advogado,naosentenca
autos entregues em carga ao advogado do acionante,naosentenca
autos entregues em carga ao advogado(a),naosentenca
autos entregues em carga ao defensor publico,naosentenca
autos entregues em carga ao ministerio publico,naosentenca
autos recebidos no protocolo geral,naosentenca
baixa definitiva,naosentenca
cancelamento de movimentacao processual,naosentenca
carga a defensoria publica,naosentenca
carga advogado do autor,naosentenca
carga mp,naosentenca
carga perito,naosentenca
carga terceiro,naosentenca
certidao emitida,naosentenca
Certidão emitida,naosentenca
certidao emitida  ,naosentenca
certificada a publicacao,naosentenca
certificado a tempestividade tempestividade,naosentenca
certificado pelo oficial de justica certidao generica,naosentenca
certificado pelo oficial de justica citacao positiva,naosentenca
certificado pelo oficial de justica devolucao zona incorreta,naosentenca
certificado pelo oficial de justica intimacao negativa,naosentenca
certificado pelo oficial de justica penhora positiva intimacao positiva,naosentenca
certitifcado decurso de prazo sem impugnacao,naosentenca
ciencia confirmada refer ao evento,naosentenca
ciencia expedida certificada,naosentenca
ciencia expedidacertificada,naosentenca
citacao ou notificacao da parte,naosentenca
citacao por carta,naosentenca
classe originaria evoluida,naosentenca
classe processual,naosentenca
comprovante de recolhimento de custas,naosentenca
comunicacao eletronica recebida,naosentenca
concedida a antecipacao de tutela,naosentenca
concedida a assistencia judiciaria gratuita a nome da parte,naosentenca
concedida a assistencia judiciaria gratuita a parte,naosentenca
concedida a medida liminar,naosentenca
concedida em parte a medida liminar,naosentenca
conclusao ao juiz,naosentenca
conclusão ao juiz,naosentenca
conclusao para decisao,naosentenca
conclusao para despacho,naosentenca
conclusao para julgamento,naosentenca
concluso para decisao interlocutoria,naosentenca
concluso para despacho,naosentenca
concluso para sentenca,naosentenca
Concluso para sentença,naosentenca
conclusos,naosentenca
conclusos cancelado pelo usuario,naosentenca
conclusos para decisao,naosentenca
conclusos para decisao interlocutoria,naosentenca
conclusos para julgamento,naosentenca
conclusos para o gabinete,naosentenca
conclusos para sentenca,naosentenca
Conclusos para sentença,naosentenca
conclusos partes,naosentenca
convertido o julgamento em diligencia,naosentenca
convertido(a) o(a) julgamento em diligencia,naosentenca
custas processuais pagas,naosentenca
decisao - decisao determinacao,naosentenca
decisão - decisão determinação,naosentenca
decisao conversao busca e apreensao em alienacao fiduciaria em execucao,naosentenca
decisao de saneamento com determinacao de pericia ,naosentenca
decisão interlocutória,naosentenca
decisao interlocutoria     ,naosentenca
decisao outras decisoes,naosentenca
decisao proferida vistos em inspecao,naosentenca
decisao requisita informacoes,naosentenca
decisao saneamento organizacao,naosentenca
declaracoes,naosentenca
declarada decadencia ou prescricao,naosentenca
declarada incompetencia,naosentenca
declinio de competencia,naosentenca
declinou competencia,naosentenca
decorrido o prazo,naosentenca
decurso de prazo,naosentenca
designacao de data,naosentenca
despacho - cite-se eletronicamente,naosentenca
despacho - proferido despacho de mero expediente,naosentenca
despacho conversao julgamento em diligencia,naosentenca
despacho decisao,naosentenca
despacho em audiencia,naosentenca
despacho mero expediente,naosentenca
despacho mero expediente deferindo o pedido,naosentenca
despacho/sentenca,naosentenca
Despacho/Sentença,naosentenca
despachodecisao,naosentenca
determinada requisicao de informacoes,naosentenca
determinado a citacao,naosentenca
determinado a citacao/notificacao  ,naosentenca
determinado a emenda da inicial ,naosentenca
determinado arquivamento ,naosentenca
determinado o arquivamento,naosentenca
determinado o cancelamento da distribuicao,naosentenca
determinado pericia   ,naosentenca
devolucao de correspondencia,naosentenca
digitacao de documentos,naosentenca
disponibilizado decisao no diario da justica eletronico,naosentenca
disponibilizado no dj eletronico,naosentenca
disponibilizado(a) decisao no diario da justica eletronico,naosentenca
documento (outros documentos),naosentenca
documento digitalizado,naosentenca
documento recebido no protocolo geral,naosentenca
documento(s) recebido(s) no protocolo geral,naosentenca
embargos à execução fiscal,naosentenca
embargos de declaracao acolhidos,naosentenca
embargos de declaracao acolhidos em parte,naosentenca
embargos de declaracao nao acolhidos,naosentenca
emenda da inicial,naosentenca
encaminhado edital relacao,naosentenca
encaminhado edital/relacao para publicacao,naosentenca
encaminhado editalrelacao para publicacao,naosentenca
enviado pedido de saque,naosentenca
envio de documento eletronico,naosentenca
envio de documento eletrônico,naosentenca
escriva o diretor de secretaria secretario juridico arquivamento definitivo,naosentenca
expedicao de,naosentenca
expedicao de alvara,naosentenca
expedida carta precatoria,naosentenca
expedida guia a unidade de cobranca,naosentenca
expedida mandado,naosentenca
expedido alvara,naosentenca
expedido mandado,naosentenca
expedido oficio,naosentenca
expedido termo,naosentenca
imprensa preparada lista do diario,naosentenca
improcedencia,naosentenca
informacoes n protocolo,naosentenca
Inicio da execucao,naosentenca
intimacao eletronica confirmada,naosentenca
intimese o autor para manifestar interesse no prosseguimento do feito e promover o seu andamento fornecendo o atual endereco,naosentenca
julgamento antecipado,naosentenca
juntada - extrato da grerj,naosentenca
juntada - parecer do ministerio publico,naosentenca
juntada - peticao,naosentenca
juntada - petição,naosentenca
juntada aviso de recebimento,naosentenca
juntada certidao,naosentenca
juntada de ar,naosentenca
juntada de ar  ,naosentenca
juntada de ata de audiencia,naosentenca
juntada de aviso de recebimento,naosentenca
juntada de aviso de recebimento (ar),naosentenca
juntada de carta,naosentenca
juntada de certidao,naosentenca
juntada de copia de expediente,naosentenca
juntada de copia de oficio,naosentenca
juntada de decisao,naosentenca
juntada de documento,naosentenca
juntada de documento juntada de ar,naosentenca
juntada de informacoes,naosentenca
juntada de intimacao eletronica,naosentenca
juntada de juntada nos autos juntada nos autos,naosentenca
juntada de laudo,naosentenca
juntada de laudo pericial,naosentenca
juntada de laudo pericial apresentado pelo sr perito,naosentenca
juntada de mandado,naosentenca
juntada de manifestacao,naosentenca
juntada de oficio,naosentenca
juntada de outros (documento),naosentenca
juntada de outros documentos,naosentenca
juntada de outros outros,naosentenca
juntada de parecer do ministerio publico,naosentenca
juntada de pedido de extincao do processo,naosentenca
juntada de peticao,naosentenca
juntada de procuracao,naosentenca
juntada de recebimento de ar ,naosentenca
juntada informacoes,naosentenca
juntada outros documentos,naosentenca
juntada peticao,naosentenca
juntada peticao de alegacoes finais,naosentenca
juntada peticao de contestacao,naosentenca
juntada peticao de contrarrazoes,naosentenca
juntada peticao de impugnacao,naosentenca
juntada peticao de manifestacao,naosentenca
juntada peticao de recurso adesivo,naosentenca
juntada recibos,naosentenca
juntado alvara pago,naosentenca
lavrada certidao,naosentenca
mandado devolvido cumprido,naosentenca
mandado devolvido cumprido parcialmente,naosentenca
mandado devolvido entregue ao destinatario,naosentenca
mandado devolvido nao cumprido,naosentenca
mandado devolvido nao entregue ao destinatario,naosentenca
manifestacao sobre laudo pericial,naosentenca
manifestacao sobre laudo pericial equivoco,naosentenca
mero expediente,naosentenca
mero expediente  ,naosentenca
movimento no apenso,naosentenca
nao concedida a antecipacao de tutela,naosentenca
nao concedida a antecipacao de tutela   ,naosentenca
nao concedido o parcelamento de custas,naosentenca
não transitou em julgado,naosentenca
nomeacao de bens a penhora deposito em dinheiro,naosentenca
para realizacao da prova pericial,naosentenca
parte excluida do processo,naosentenca
pedido de arquivamento,naosentenca
pedido de concessao renovacao dilacao,naosentenca
pedido de desarquivamento,naosentenca
pedido de desistencia,naosentenca
pedido de expedicao,naosentenca
pedido de juntada de comprovante de pagamento,naosentenca
peticao,naosentenca
petição,naosentenca
peticao recebida,naosentenca
peticao refer ao evento,naosentenca
prazo alterado pelo ajuste na tabela,naosentenca
prazo alterado pelo ajuste na tabela de,naosentenca
prazo alterado pelo ajuste na tabela de feriados,naosentenca
processo apensado,naosentenca
processo apensado ,naosentenca
processo corretamente autuado,naosentenca
processo desarquivado,naosentenca
processo digitalizado pelo tjce digitalizado pelo fcb,naosentenca
processo entranhado,naosentenca
processo fisico convertido em processo eletronico,naosentenca
processo inspecionado,naosentenca
processo reativado,naosentenca
processo redistribuido por sorteio declinio de competencia,naosentenca
processo suspenso,naosentenca
processo suspenso por depender do julgamento de outra causa,naosentenca
processo suspenso por execucao frustrada  ,naosentenca
proferido despacho de mero expediente,naosentenca
prosseguimento do feito,naosentenca
protocolizada peticao,naosentenca
provimento por decisao monocratica,naosentenca
publicado decisao,naosentenca
publicado despacho,naosentenca
publicado lista,naosentenca
realizado calculo de custas,naosentenca
realizado o pagamento de custas,naosentenca
reativado processo do arquivo definitivo,naosentenca
reativado processo retornado de outro juizo,naosentenca
reativado processo suspenso,naosentenca
recebido o mandado para cumprimento,naosentenca
recebidos os autos,naosentenca
recebimento,naosentenca
recurso Especial repetitivo,naosentenca
recurso interposto,naosentenca
redistribuido por direcionamento ,naosentenca
redistribuido por prevencao em razao de incompetencia,naosentenca
redistribuido por sorteio em razao de incompetencia,naosentenca
remessa do arquivo para,naosentenca
remessa dos autos,naosentenca
remessa externa,naosentenca
remessa interna,naosentenca
remessa remetidos os autos,naosentenca
remetido os autos,naosentenca
remetido recurso eletronico,naosentenca
remetido recurso eletronico ao tribunal de justica,naosentenca
remetidos os autos,naosentenca
retificacao de autuacao por alteracao de classe,naosentenca
retorno ao arquivo do processo ja baixado,naosentenca
revisao do projeto de sentenca,naosentenca
sessao de conciliacao nao realizada,naosentenca
sessao de conciliacao realizada sem exito,naosentenca
sobrestamento do processo,naosentenca
suspensao ,naosentenca
suspensao - art. 921,naosentenca
suspensao/sobrestamento do processo,naosentenca
transferencia de alvara confirmada,naosentenca
venham os autos conclusos para julgamento,naosentenca
acolho os embargos,sentenca
acordao,sentenca
acordão,sentenca
apelacao,sentenca
certificado a publicacao e registro da sentenca,sentenca
certificado a publicacao e registro da sentenca,sentenca
certifico a  r. sentença,sentenca
certifico a  respeitavel sentença,sentenca
certifico e dou fe que a r. sentenca,sentenca
certifico haver custas pendentes,sentenca
certifico o transito em julgado,sentenca
certifico para os devidos fins que a sentença de folhas,sentenca
certifico para os devidos fins que a sentença retro transitou em julgado,sentenca
certifico que a  r. sentença,sentenca
certifico que a  respeitavel sentença,sentenca
certifico que a sentenca proferida foi publicada e registrada nesta data,sentenca
certifico que os embargos de declaracao sao,sentenca
com a resolução do mérito,sentenca
com a solução dada pela sentença,sentenca
com apreciação do mérito,sentenca
com resolucao do merito,sentenca
condeno a ré,sentenca
condeno o autor,sentenca
condeno o réu,sentenca
condeno o(a) réu,sentenca
conheço dos embargos,sentenca
converto o arresto,sentenca
cumpra-se o v. acordao,sentenca
cumpra-se veneravel acordao,sentenca
cumprimento da obrigação de fazer,sentenca
cumprimento de sentença,sentenca
cumprimento voluntário da sentença,sentenca
dispositiva da sentença,sentenca
dispositivo da sentença,sentenca
embargos de declaracao,sentenca
embargos de declaração,sentenca
execucao de sentenca,sentenca
expeça-se mandado de pagamento em favor  da parte,sentenca
expressa na sentença,sentenca
extincao do processo,sentenca
extinção do processo,sentenca
extinção dos embargos do devedor,sentenca
extingo esse processo,sentenca
extingo este processo,sentenca
extingo o presente feito,sentenca
extingo o processo,sentenca
extinta,sentenca
extinta a execucao ou o cumprimento da sentenca,sentenca
extinto,sentenca
extinto o presente feito,sentenca
extinto o processo,sentenca
extinto o processo por abandono da causa,sentenca
extinto o processo por ausencia das condicoes da acao,sentenca
extinto o processo por ausencia de pressupostos processuais,sentenca
homologação do projeto de sentença,sentenca
homologada a transacao,sentenca
homologada renuncia pelo autor,sentenca
homologo por sentenca,sentenca
imposta pela sentença,sentenca
indeferida a petição inicial,sentenca
indeferimento da petição inicial,sentenca
julgado extinto processo,sentenca
julgado improcedente o pedido,sentenca
julgado procedente em parte do pedido,sentenca
julgado procedente em parte do pedido ante o exposto julgo parcialmente procedente o pedido autoral resolvendo o merito,sentenca
julgado procedente o pedido,sentenca
julgamento com resolucao do merito extincao da execucao ou do cumprimento da sentenca,sentenca
julgamento com resolucao do merito improcedencia,sentenca
julgamento com resolucao do merito procedencia,sentenca
julgamento extra petita,sentenca
julgamento intra petita,sentenca
julgamento sem resolucao de merito extincao abandono da causa,sentenca
julgamento sem resolucao de merito extincao desistencia,sentenca
julgamento ultra petita,sentenca
julgo extinto o processo,sentenca
julgo extinto processo,sentenca
julgo improcedente,sentenca
julgo procedente,sentenca
julgo procedente em parte do pedido,sentenca
julgo procedente o pedido,sentenca
juntada de certidao transito em julgado,sentenca
juntada de sentenca,sentenca
juntada peticao de apelacao,sentenca
juntada sentenca,sentenca
leitura de sentença,sentenca
parcialmente procedente,sentenca
projeto de sentença proferido pelo juiz leigo,sentenca
publicacao da sentenca,sentenca
publicacao de sentenca,sentenca
publicação de sentença,sentenca
publicada a sentenca,sentenca
publicada sentenca,sentenca
publicado a sentenca,sentenca
publicado sentenca,sentenca
publicado sentenca,sentenca
publicado sentença,sentenca
recebido o recurso,sentenca
recebido recurso eletronico,sentenca
recurso inominado,sentenca
rejeito os embargos,sentenca
remessa ao juiz leigo,sentenca
resolvendo o mérito,sentenca
sem a resolução do mérito,sentenca
sem apreciação do mérito,sentenca
sem resolucao do merito,sentenca
sem resolucao meritoria,sentenca
sentenca,sentenca
sentença - julgado improcedente o pedido,sentenca
sentença - julgado procedente em parte do pedido,sentenca
sentença - julgado procedente o pedido,sentenca
sentença confirmada em acordao,sentenca
sentença de parcial improcedencia,sentenca
sentença de parcial procedencia,sentenca
sentença embargada,sentenca
sentença improcedente,sentenca
sentença parcialmente improcedente,sentenca
sentença parcialmente procedente,sentenca
sentença procedente,sentenca
sentenca proferida,sentenca
sentença proferida,sentenca
sentença transitada em julgado,sentenca
sentença trasladada,sentenca
sentencas,sentenca
sucumbente,sentenca
transitada em julgado,sentenca
transitado em julgado,sentenca
trânsito da sentença,sentenca
transito em julgado,sentenca
transitou em julgado,sentenca
transitou em julgado em,sentenca